student_id,display_name,program,program_source
OULAD-266744,Learner 266744,Business Analytics,Fictional demo enrichment
OULAD-272617,Learner 272617,Applied Computing,Fictional demo enrichment
OULAD-276925,Learner 276925,Applied Computing,Fictional demo enrichment
OULAD-303617,Learner 303617,Business Analytics,Fictional demo enrichment
OULAD-473509,Learner 473509,Applied Computing,Fictional demo enrichment
OULAD-500279,Learner 500279,Business Analytics,Fictional demo enrichment
OULAD-551515,Learner 551515,Applied Computing,Fictional demo enrichment
OULAD-554243,Learner 554243,Business Analytics,Fictional demo enrichment
OULAD-559685,Learner 559685,Business Analytics,Fictional demo enrichment
OULAD-570177,Learner 570177,Data & Society,Fictional demo enrichment
OULAD-571540,Learner 571540,Applied Computing,Fictional demo enrichment
OULAD-579255,Learner 579255,Data & Society,Fictional demo enrichment
OULAD-583179,Learner 583179,Data & Society,Fictional demo enrichment
OULAD-595047,Learner 595047,Data & Society,Fictional demo enrichment
OULAD-602011,Learner 602011,Applied Computing,Fictional demo enrichment
OULAD-608060,Learner 608060,Business Analytics,Fictional demo enrichment
OULAD-611268,Learner 611268,Data & Society,Fictional demo enrichment
OULAD-1588208,Learner 1588208,Business Analytics,Fictional demo enrichment
OULAD-2271743,Learner 2271743,Business Analytics,Fictional demo enrichment
OULAD-2625752,Learner 2625752,Business Analytics,Fictional demo enrichment
OULAD-487002,Learner 487002,Data & Society,Fictional demo enrichment
OULAD-598313,Learner 598313,Business Analytics,Fictional demo enrichment
OULAD-610494,Learner 610494,Data & Society,Fictional demo enrichment
OULAD-618197,Learner 618197,Business Analytics,Fictional demo enrichment
OULAD-303165,Learner 303165,Data & Society,Fictional demo enrichment
OULAD-411105,Learner 411105,Data & Society,Fictional demo enrichment
OULAD-473271,Learner 473271,Data & Society,Fictional demo enrichment
OULAD-494212,Learner 494212,Applied Computing,Fictional demo enrichment
OULAD-496373,Learner 496373,Business Analytics,Fictional demo enrichment
OULAD-521164,Learner 521164,Applied Computing,Fictional demo enrichment
OULAD-577934,Learner 577934,Business Analytics,Fictional demo enrichment
OULAD-583775,Learner 583775,Business Analytics,Fictional demo enrichment
OULAD-603921,Learner 603921,Data & Society,Fictional demo enrichment
OULAD-605901,Learner 605901,Data & Society,Fictional demo enrichment
OULAD-606864,Learner 606864,Data & Society,Fictional demo enrichment
OULAD-624795,Learner 624795,Data & Society,Fictional demo enrichment
OULAD-626159,Learner 626159,Business Analytics,Fictional demo enrichment
OULAD-29820,Learner 29820,Data & Society,Fictional demo enrichment
OULAD-49119,Learner 49119,Data & Society,Fictional demo enrichment
OULAD-83219,Learner 83219,Business Analytics,Fictional demo enrichment
OULAD-86047,Learner 86047,Applied Computing,Fictional demo enrichment
OULAD-88758,Learner 88758,Data & Society,Fictional demo enrichment
OULAD-107339,Learner 107339,Business Analytics,Fictional demo enrichment
OULAD-126337,Learner 126337,Applied Computing,Fictional demo enrichment
OULAD-139190,Learner 139190,Business Analytics,Fictional demo enrichment
OULAD-167791,Learner 167791,Applied Computing,Fictional demo enrichment
OULAD-171896,Learner 171896,Business Analytics,Fictional demo enrichment
OULAD-183331,Learner 183331,Applied Computing,Fictional demo enrichment
OULAD-189624,Learner 189624,Data & Society,Fictional demo enrichment
OULAD-191000,Learner 191000,Business Analytics,Fictional demo enrichment
OULAD-193163,Learner 193163,Business Analytics,Fictional demo enrichment
OULAD-198902,Learner 198902,Business Analytics,Fictional demo enrichment
OULAD-205425,Learner 205425,Data & Society,Fictional demo enrichment
OULAD-229499,Learner 229499,Business Analytics,Fictional demo enrichment
OULAD-231339,Learner 231339,Data & Society,Fictional demo enrichment
OULAD-237934,Learner 237934,Applied Computing,Fictional demo enrichment
OULAD-256532,Learner 256532,Business Analytics,Fictional demo enrichment
OULAD-266040,Learner 266040,Data & Society,Fictional demo enrichment
OULAD-266915,Learner 266915,Business Analytics,Fictional demo enrichment
OULAD-267118,Learner 267118,Applied Computing,Fictional demo enrichment
OULAD-279868,Learner 279868,Applied Computing,Fictional demo enrichment
OULAD-285170,Learner 285170,Business Analytics,Fictional demo enrichment
OULAD-289009,Learner 289009,Applied Computing,Fictional demo enrichment
OULAD-290382,Learner 290382,Data & Society,Fictional demo enrichment
OULAD-308391,Learner 308391,Data & Society,Fictional demo enrichment
OULAD-314555,Learner 314555,Business Analytics,Fictional demo enrichment
OULAD-318574,Learner 318574,Applied Computing,Fictional demo enrichment
OULAD-319042,Learner 319042,Applied Computing,Fictional demo enrichment
OULAD-348050,Learner 348050,Business Analytics,Fictional demo enrichment
OULAD-355143,Learner 355143,Data & Society,Fictional demo enrichment
OULAD-356523,Learner 356523,Data & Society,Fictional demo enrichment
OULAD-358075,Learner 358075,Applied Computing,Fictional demo enrichment
OULAD-359460,Learner 359460,Data & Society,Fictional demo enrichment
OULAD-362661,Learner 362661,Data & Society,Fictional demo enrichment
OULAD-366310,Learner 366310,Applied Computing,Fictional demo enrichment
OULAD-366424,Learner 366424,Applied Computing,Fictional demo enrichment
OULAD-369908,Learner 369908,Business Analytics,Fictional demo enrichment
OULAD-370336,Learner 370336,Applied Computing,Fictional demo enrichment
OULAD-371113,Learner 371113,Applied Computing,Fictional demo enrichment
OULAD-378920,Learner 378920,Business Analytics,Fictional demo enrichment
OULAD-386671,Learner 386671,Applied Computing,Fictional demo enrichment
OULAD-398877,Learner 398877,Data & Society,Fictional demo enrichment
OULAD-401296,Learner 401296,Applied Computing,Fictional demo enrichment
OULAD-410886,Learner 410886,Data & Society,Fictional demo enrichment
OULAD-426616,Learner 426616,Applied Computing,Fictional demo enrichment
OULAD-431386,Learner 431386,Applied Computing,Fictional demo enrichment
OULAD-440171,Learner 440171,Business Analytics,Fictional demo enrichment
OULAD-441540,Learner 441540,Data & Society,Fictional demo enrichment
OULAD-446295,Learner 446295,Data & Society,Fictional demo enrichment
OULAD-446628,Learner 446628,Data & Society,Fictional demo enrichment
OULAD-465719,Learner 465719,Business Analytics,Fictional demo enrichment
OULAD-469113,Learner 469113,Data & Society,Fictional demo enrichment
OULAD-479607,Learner 479607,Data & Society,Fictional demo enrichment
OULAD-480929,Learner 480929,Business Analytics,Fictional demo enrichment
OULAD-484305,Learner 484305,Data & Society,Fictional demo enrichment
OULAD-490297,Learner 490297,Applied Computing,Fictional demo enrichment
OULAD-490662,Learner 490662,Data & Society,Fictional demo enrichment
OULAD-494919,Learner 494919,Data & Society,Fictional demo enrichment
OULAD-500006,Learner 500006,Business Analytics,Fictional demo enrichment
OULAD-500189,Learner 500189,Business Analytics,Fictional demo enrichment
OULAD-502833,Learner 502833,Data & Society,Fictional demo enrichment
OULAD-505767,Learner 505767,Data & Society,Fictional demo enrichment
OULAD-507034,Learner 507034,Applied Computing,Fictional demo enrichment
OULAD-509102,Learner 509102,Business Analytics,Fictional demo enrichment
OULAD-518116,Learner 518116,Applied Computing,Fictional demo enrichment
OULAD-519589,Learner 519589,Applied Computing,Fictional demo enrichment
OULAD-521542,Learner 521542,Applied Computing,Fictional demo enrichment
OULAD-523061,Learner 523061,Business Analytics,Fictional demo enrichment
OULAD-524378,Learner 524378,Business Analytics,Fictional demo enrichment
OULAD-529073,Learner 529073,Business Analytics,Fictional demo enrichment
OULAD-531047,Learner 531047,Business Analytics,Fictional demo enrichment
OULAD-531075,Learner 531075,Data & Society,Fictional demo enrichment
OULAD-532440,Learner 532440,Data & Society,Fictional demo enrichment
OULAD-533004,Learner 533004,Data & Society,Fictional demo enrichment
OULAD-537654,Learner 537654,Data & Society,Fictional demo enrichment
OULAD-539514,Learner 539514,Data & Society,Fictional demo enrichment
OULAD-540686,Learner 540686,Business Analytics,Fictional demo enrichment
OULAD-544090,Learner 544090,Applied Computing,Fictional demo enrichment
OULAD-547413,Learner 547413,Data & Society,Fictional demo enrichment
OULAD-548764,Learner 548764,Applied Computing,Fictional demo enrichment
OULAD-551856,Learner 551856,Data & Society,Fictional demo enrichment
OULAD-552166,Learner 552166,Applied Computing,Fictional demo enrichment
OULAD-553568,Learner 553568,Business Analytics,Fictional demo enrichment
OULAD-554583,Learner 554583,Data & Society,Fictional demo enrichment
OULAD-556918,Learner 556918,Applied Computing,Fictional demo enrichment
OULAD-560114,Learner 560114,Business Analytics,Fictional demo enrichment
OULAD-560311,Learner 560311,Applied Computing,Fictional demo enrichment
OULAD-562825,Learner 562825,Applied Computing,Fictional demo enrichment
OULAD-564444,Learner 564444,Data & Society,Fictional demo enrichment
OULAD-565275,Learner 565275,Data & Society,Fictional demo enrichment
OULAD-566185,Learner 566185,Applied Computing,Fictional demo enrichment
OULAD-571389,Learner 571389,Data & Society,Fictional demo enrichment
OULAD-572891,Learner 572891,Business Analytics,Fictional demo enrichment
OULAD-572909,Learner 572909,Business Analytics,Fictional demo enrichment
OULAD-573440,Learner 573440,Business Analytics,Fictional demo enrichment
OULAD-573696,Learner 573696,Data & Society,Fictional demo enrichment
OULAD-573697,Learner 573697,Applied Computing,Fictional demo enrichment
OULAD-574551,Learner 574551,Data & Society,Fictional demo enrichment
OULAD-574580,Learner 574580,Business Analytics,Fictional demo enrichment
OULAD-574830,Learner 574830,Data & Society,Fictional demo enrichment
OULAD-577035,Learner 577035,Data & Society,Fictional demo enrichment
OULAD-577245,Learner 577245,Data & Society,Fictional demo enrichment
OULAD-577603,Learner 577603,Applied Computing,Fictional demo enrichment
OULAD-577686,Learner 577686,Data & Society,Fictional demo enrichment
OULAD-578034,Learner 578034,Data & Society,Fictional demo enrichment
OULAD-578541,Learner 578541,Data & Society,Fictional demo enrichment
OULAD-580722,Learner 580722,Data & Society,Fictional demo enrichment
OULAD-581614,Learner 581614,Applied Computing,Fictional demo enrichment
OULAD-582827,Learner 582827,Business Analytics,Fictional demo enrichment
OULAD-583192,Learner 583192,Applied Computing,Fictional demo enrichment
OULAD-584468,Learner 584468,Business Analytics,Fictional demo enrichment
OULAD-584913,Learner 584913,Data & Society,Fictional demo enrichment
OULAD-586473,Learner 586473,Data & Society,Fictional demo enrichment
OULAD-586921,Learner 586921,Applied Computing,Fictional demo enrichment
OULAD-587621,Learner 587621,Business Analytics,Fictional demo enrichment
OULAD-588402,Learner 588402,Data & Society,Fictional demo enrichment
OULAD-588460,Learner 588460,Applied Computing,Fictional demo enrichment
OULAD-588676,Learner 588676,Applied Computing,Fictional demo enrichment
OULAD-589327,Learner 589327,Applied Computing,Fictional demo enrichment
OULAD-589517,Learner 589517,Business Analytics,Fictional demo enrichment
OULAD-590699,Learner 590699,Business Analytics,Fictional demo enrichment
OULAD-590744,Learner 590744,Business Analytics,Fictional demo enrichment
OULAD-590762,Learner 590762,Business Analytics,Fictional demo enrichment
OULAD-591566,Learner 591566,Business Analytics,Fictional demo enrichment
OULAD-591719,Learner 591719,Business Analytics,Fictional demo enrichment
OULAD-593823,Learner 593823,Data & Society,Fictional demo enrichment
OULAD-594111,Learner 594111,Data & Society,Fictional demo enrichment
OULAD-595514,Learner 595514,Business Analytics,Fictional demo enrichment
OULAD-595685,Learner 595685,Business Analytics,Fictional demo enrichment
OULAD-597363,Learner 597363,Data & Society,Fictional demo enrichment
OULAD-598321,Learner 598321,Applied Computing,Fictional demo enrichment
OULAD-599263,Learner 599263,Applied Computing,Fictional demo enrichment
OULAD-599902,Learner 599902,Applied Computing,Fictional demo enrichment
OULAD-599937,Learner 599937,Data & Society,Fictional demo enrichment
OULAD-599942,Learner 599942,Business Analytics,Fictional demo enrichment
OULAD-600094,Learner 600094,Applied Computing,Fictional demo enrichment
OULAD-602030,Learner 602030,Business Analytics,Fictional demo enrichment
OULAD-604164,Learner 604164,Data & Society,Fictional demo enrichment
OULAD-604480,Learner 604480,Applied Computing,Fictional demo enrichment
OULAD-604517,Learner 604517,Business Analytics,Fictional demo enrichment
OULAD-604665,Learner 604665,Data & Society,Fictional demo enrichment
OULAD-604723,Learner 604723,Applied Computing,Fictional demo enrichment
OULAD-606300,Learner 606300,Data & Society,Fictional demo enrichment
OULAD-606350,Learner 606350,Business Analytics,Fictional demo enrichment
OULAD-606930,Learner 606930,Data & Society,Fictional demo enrichment
OULAD-607052,Learner 607052,Business Analytics,Fictional demo enrichment
OULAD-607636,Learner 607636,Applied Computing,Fictional demo enrichment
OULAD-608130,Learner 608130,Data & Society,Fictional demo enrichment
OULAD-608472,Learner 608472,Data & Society,Fictional demo enrichment
OULAD-608753,Learner 608753,Business Analytics,Fictional demo enrichment
OULAD-609025,Learner 609025,Applied Computing,Fictional demo enrichment
OULAD-609645,Learner 609645,Data & Society,Fictional demo enrichment
OULAD-610099,Learner 610099,Applied Computing,Fictional demo enrichment
OULAD-611865,Learner 611865,Data & Society,Fictional demo enrichment
OULAD-612124,Learner 612124,Applied Computing,Fictional demo enrichment
OULAD-612397,Learner 612397,Applied Computing,Fictional demo enrichment
OULAD-613116,Learner 613116,Data & Society,Fictional demo enrichment
OULAD-613120,Learner 613120,Applied Computing,Fictional demo enrichment
OULAD-613461,Learner 613461,Data & Society,Fictional demo enrichment
OULAD-614733,Learner 614733,Data & Society,Fictional demo enrichment
OULAD-617331,Learner 617331,Data & Society,Fictional demo enrichment
OULAD-617355,Learner 617355,Data & Society,Fictional demo enrichment
OULAD-617365,Learner 617365,Applied Computing,Fictional demo enrichment
OULAD-617781,Learner 617781,Data & Society,Fictional demo enrichment
OULAD-618171,Learner 618171,Data & Society,Fictional demo enrichment
OULAD-618514,Learner 618514,Applied Computing,Fictional demo enrichment
OULAD-620320,Learner 620320,Applied Computing,Fictional demo enrichment
OULAD-620646,Learner 620646,Data & Society,Fictional demo enrichment
OULAD-620876,Learner 620876,Business Analytics,Fictional demo enrichment
OULAD-621619,Learner 621619,Applied Computing,Fictional demo enrichment
OULAD-621655,Learner 621655,Applied Computing,Fictional demo enrichment
OULAD-621696,Learner 621696,Data & Society,Fictional demo enrichment
OULAD-622398,Learner 622398,Data & Society,Fictional demo enrichment
OULAD-622948,Learner 622948,Applied Computing,Fictional demo enrichment
OULAD-623738,Learner 623738,Business Analytics,Fictional demo enrichment
OULAD-623786,Learner 623786,Business Analytics,Fictional demo enrichment
OULAD-624354,Learner 624354,Data & Society,Fictional demo enrichment
OULAD-624782,Learner 624782,Business Analytics,Fictional demo enrichment
OULAD-625121,Learner 625121,Business Analytics,Fictional demo enrichment
OULAD-625774,Learner 625774,Applied Computing,Fictional demo enrichment
OULAD-625785,Learner 625785,Data & Society,Fictional demo enrichment
OULAD-625790,Learner 625790,Business Analytics,Fictional demo enrichment
OULAD-625838,Learner 625838,Business Analytics,Fictional demo enrichment
OULAD-626055,Learner 626055,Data & Society,Fictional demo enrichment
OULAD-626998,Learner 626998,Applied Computing,Fictional demo enrichment
OULAD-627168,Learner 627168,Data & Society,Fictional demo enrichment
OULAD-627399,Learner 627399,Data & Society,Fictional demo enrichment
OULAD-627636,Learner 627636,Data & Society,Fictional demo enrichment
OULAD-628214,Learner 628214,Business Analytics,Fictional demo enrichment
OULAD-628366,Learner 628366,Applied Computing,Fictional demo enrichment
OULAD-628383,Learner 628383,Data & Society,Fictional demo enrichment
OULAD-628718,Learner 628718,Business Analytics,Fictional demo enrichment
OULAD-629862,Learner 629862,Data & Society,Fictional demo enrichment
OULAD-629887,Learner 629887,Applied Computing,Fictional demo enrichment
OULAD-630178,Learner 630178,Applied Computing,Fictional demo enrichment
OULAD-631075,Learner 631075,Applied Computing,Fictional demo enrichment
OULAD-631657,Learner 631657,Applied Computing,Fictional demo enrichment
OULAD-631925,Learner 631925,Business Analytics,Fictional demo enrichment
OULAD-632074,Learner 632074,Applied Computing,Fictional demo enrichment
OULAD-632111,Learner 632111,Business Analytics,Fictional demo enrichment
OULAD-632114,Learner 632114,Business Analytics,Fictional demo enrichment
OULAD-632312,Learner 632312,Business Analytics,Fictional demo enrichment
OULAD-632459,Learner 632459,Business Analytics,Fictional demo enrichment
OULAD-632637,Learner 632637,Data & Society,Fictional demo enrichment
OULAD-632780,Learner 632780,Business Analytics,Fictional demo enrichment
OULAD-632836,Learner 632836,Applied Computing,Fictional demo enrichment
OULAD-632856,Learner 632856,Data & Society,Fictional demo enrichment
OULAD-633270,Learner 633270,Data & Society,Fictional demo enrichment
OULAD-633310,Learner 633310,Applied Computing,Fictional demo enrichment
OULAD-633695,Learner 633695,Business Analytics,Fictional demo enrichment
OULAD-634083,Learner 634083,Data & Society,Fictional demo enrichment
OULAD-634216,Learner 634216,Applied Computing,Fictional demo enrichment
OULAD-634433,Learner 634433,Business Analytics,Fictional demo enrichment
OULAD-634500,Learner 634500,Data & Society,Fictional demo enrichment
OULAD-635034,Learner 635034,Data & Society,Fictional demo enrichment
OULAD-635109,Learner 635109,Data & Society,Fictional demo enrichment
OULAD-1307784,Learner 1307784,Data & Society,Fictional demo enrichment
OULAD-1311171,Learner 1311171,Data & Society,Fictional demo enrichment
OULAD-1468838,Learner 1468838,Business Analytics,Fictional demo enrichment
OULAD-1514245,Learner 1514245,Applied Computing,Fictional demo enrichment
OULAD-1644328,Learner 1644328,Applied Computing,Fictional demo enrichment
OULAD-1781834,Learner 1781834,Business Analytics,Fictional demo enrichment
OULAD-1828112,Learner 1828112,Business Analytics,Fictional demo enrichment
OULAD-1924641,Learner 1924641,Data & Society,Fictional demo enrichment
OULAD-2030117,Learner 2030117,Business Analytics,Fictional demo enrichment
OULAD-2063578,Learner 2063578,Applied Computing,Fictional demo enrichment
OULAD-2096918,Learner 2096918,Business Analytics,Fictional demo enrichment
OULAD-2110039,Learner 2110039,Applied Computing,Fictional demo enrichment
OULAD-2343809,Learner 2343809,Business Analytics,Fictional demo enrichment
OULAD-2391004,Learner 2391004,Applied Computing,Fictional demo enrichment
OULAD-2394090,Learner 2394090,Data & Society,Fictional demo enrichment
OULAD-2421961,Learner 2421961,Applied Computing,Fictional demo enrichment
OULAD-2436400,Learner 2436400,Applied Computing,Fictional demo enrichment
OULAD-2446778,Learner 2446778,Business Analytics,Fictional demo enrichment
OULAD-2473058,Learner 2473058,Business Analytics,Fictional demo enrichment
OULAD-2503063,Learner 2503063,Applied Computing,Fictional demo enrichment
OULAD-2602264,Learner 2602264,Applied Computing,Fictional demo enrichment
OULAD-2621734,Learner 2621734,Applied Computing,Fictional demo enrichment
OULAD-2686074,Learner 2686074,Data & Society,Fictional demo enrichment
OULAD-2691267,Learner 2691267,Data & Society,Fictional demo enrichment
OULAD-48635,Learner 48635,Business Analytics,Fictional demo enrichment
OULAD-54062,Learner 54062,Business Analytics,Fictional demo enrichment
OULAD-70495,Learner 70495,Applied Computing,Fictional demo enrichment
OULAD-71723,Learner 71723,Business Analytics,Fictional demo enrichment
OULAD-96874,Learner 96874,Applied Computing,Fictional demo enrichment
OULAD-105168,Learner 105168,Data & Society,Fictional demo enrichment
OULAD-119310,Learner 119310,Data & Society,Fictional demo enrichment
OULAD-124711,Learner 124711,Applied Computing,Fictional demo enrichment
OULAD-132423,Learner 132423,Data & Society,Fictional demo enrichment
OULAD-155298,Learner 155298,Data & Society,Fictional demo enrichment
OULAD-160536,Learner 160536,Data & Society,Fictional demo enrichment
OULAD-185057,Learner 185057,Business Analytics,Fictional demo enrichment
OULAD-188662,Learner 188662,Applied Computing,Fictional demo enrichment
OULAD-190780,Learner 190780,Applied Computing,Fictional demo enrichment
OULAD-199361,Learner 199361,Business Analytics,Fictional demo enrichment
OULAD-242636,Learner 242636,Business Analytics,Fictional demo enrichment
OULAD-256867,Learner 256867,Applied Computing,Fictional demo enrichment
OULAD-271526,Learner 271526,Business Analytics,Fictional demo enrichment
OULAD-283618,Learner 283618,Applied Computing,Fictional demo enrichment
OULAD-284095,Learner 284095,Applied Computing,Fictional demo enrichment
OULAD-291674,Learner 291674,Business Analytics,Fictional demo enrichment
OULAD-293321,Learner 293321,Business Analytics,Fictional demo enrichment
OULAD-293686,Learner 293686,Applied Computing,Fictional demo enrichment
OULAD-305036,Learner 305036,Business Analytics,Fictional demo enrichment
OULAD-314956,Learner 314956,Applied Computing,Fictional demo enrichment
OULAD-329455,Learner 329455,Applied Computing,Fictional demo enrichment
OULAD-331622,Learner 331622,Business Analytics,Fictional demo enrichment
OULAD-335405,Learner 335405,Business Analytics,Fictional demo enrichment
OULAD-339824,Learner 339824,Business Analytics,Fictional demo enrichment
OULAD-341361,Learner 341361,Data & Society,Fictional demo enrichment
OULAD-379042,Learner 379042,Applied Computing,Fictional demo enrichment
OULAD-382857,Learner 382857,Data & Society,Fictional demo enrichment
OULAD-391466,Learner 391466,Business Analytics,Fictional demo enrichment
OULAD-393526,Learner 393526,Applied Computing,Fictional demo enrichment
OULAD-396631,Learner 396631,Applied Computing,Fictional demo enrichment
OULAD-400266,Learner 400266,Data & Society,Fictional demo enrichment
OULAD-401011,Learner 401011,Applied Computing,Fictional demo enrichment
OULAD-419024,Learner 419024,Business Analytics,Fictional demo enrichment
OULAD-420042,Learner 420042,Data & Society,Fictional demo enrichment
OULAD-421111,Learner 421111,Applied Computing,Fictional demo enrichment
OULAD-422697,Learner 422697,Data & Society,Fictional demo enrichment
OULAD-426316,Learner 426316,Applied Computing,Fictional demo enrichment
OULAD-439855,Learner 439855,Applied Computing,Fictional demo enrichment
OULAD-442924,Learner 442924,Applied Computing,Fictional demo enrichment
OULAD-464780,Learner 464780,Business Analytics,Fictional demo enrichment
OULAD-467144,Learner 467144,Business Analytics,Fictional demo enrichment
OULAD-472651,Learner 472651,Applied Computing,Fictional demo enrichment
OULAD-473491,Learner 473491,Applied Computing,Fictional demo enrichment
OULAD-482868,Learner 482868,Data & Society,Fictional demo enrichment
OULAD-487314,Learner 487314,Data & Society,Fictional demo enrichment
OULAD-489990,Learner 489990,Data & Society,Fictional demo enrichment
OULAD-498828,Learner 498828,Data & Society,Fictional demo enrichment
OULAD-499813,Learner 499813,Applied Computing,Fictional demo enrichment
OULAD-508295,Learner 508295,Business Analytics,Fictional demo enrichment
OULAD-510266,Learner 510266,Business Analytics,Fictional demo enrichment
OULAD-511350,Learner 511350,Data & Society,Fictional demo enrichment
OULAD-511859,Learner 511859,Business Analytics,Fictional demo enrichment
OULAD-515125,Learner 515125,Applied Computing,Fictional demo enrichment
OULAD-521115,Learner 521115,Data & Society,Fictional demo enrichment
OULAD-529723,Learner 529723,Applied Computing,Fictional demo enrichment
OULAD-541040,Learner 541040,Business Analytics,Fictional demo enrichment
OULAD-541482,Learner 541482,Data & Society,Fictional demo enrichment
OULAD-542180,Learner 542180,Business Analytics,Fictional demo enrichment
OULAD-542557,Learner 542557,Applied Computing,Fictional demo enrichment
OULAD-544271,Learner 544271,Business Analytics,Fictional demo enrichment
OULAD-545704,Learner 545704,Applied Computing,Fictional demo enrichment
OULAD-550814,Learner 550814,Business Analytics,Fictional demo enrichment
OULAD-551214,Learner 551214,Data & Society,Fictional demo enrichment
OULAD-552965,Learner 552965,Business Analytics,Fictional demo enrichment
OULAD-554691,Learner 554691,Data & Society,Fictional demo enrichment
OULAD-555498,Learner 555498,Data & Society,Fictional demo enrichment
OULAD-564356,Learner 564356,Business Analytics,Fictional demo enrichment
OULAD-565109,Learner 565109,Business Analytics,Fictional demo enrichment
OULAD-567888,Learner 567888,Data & Society,Fictional demo enrichment
OULAD-569625,Learner 569625,Data & Society,Fictional demo enrichment
OULAD-571131,Learner 571131,Data & Society,Fictional demo enrichment
OULAD-571610,Learner 571610,Business Analytics,Fictional demo enrichment
OULAD-571808,Learner 571808,Business Analytics,Fictional demo enrichment
OULAD-571921,Learner 571921,Applied Computing,Fictional demo enrichment
OULAD-571962,Learner 571962,Data & Society,Fictional demo enrichment
OULAD-572396,Learner 572396,Business Analytics,Fictional demo enrichment
OULAD-572431,Learner 572431,Applied Computing,Fictional demo enrichment
OULAD-572589,Learner 572589,Data & Society,Fictional demo enrichment
OULAD-572735,Learner 572735,Business Analytics,Fictional demo enrichment
OULAD-572783,Learner 572783,Business Analytics,Fictional demo enrichment
OULAD-574507,Learner 574507,Applied Computing,Fictional demo enrichment
OULAD-574637,Learner 574637,Business Analytics,Fictional demo enrichment
OULAD-574720,Learner 574720,Applied Computing,Fictional demo enrichment
OULAD-575798,Learner 575798,Business Analytics,Fictional demo enrichment
OULAD-576233,Learner 576233,Business Analytics,Fictional demo enrichment
OULAD-576453,Learner 576453,Data & Society,Fictional demo enrichment
OULAD-577148,Learner 577148,Business Analytics,Fictional demo enrichment
OULAD-577279,Learner 577279,Applied Computing,Fictional demo enrichment
OULAD-580709,Learner 580709,Business Analytics,Fictional demo enrichment
OULAD-580714,Learner 580714,Applied Computing,Fictional demo enrichment
OULAD-580845,Learner 580845,Data & Society,Fictional demo enrichment
OULAD-581179,Learner 581179,Applied Computing,Fictional demo enrichment
OULAD-581410,Learner 581410,Applied Computing,Fictional demo enrichment
OULAD-583293,Learner 583293,Data & Society,Fictional demo enrichment
OULAD-584443,Learner 584443,Applied Computing,Fictional demo enrichment
OULAD-585098,Learner 585098,Business Analytics,Fictional demo enrichment
OULAD-586046,Learner 586046,Business Analytics,Fictional demo enrichment
OULAD-586261,Learner 586261,Applied Computing,Fictional demo enrichment
OULAD-586550,Learner 586550,Business Analytics,Fictional demo enrichment
OULAD-586594,Learner 586594,Applied Computing,Fictional demo enrichment
OULAD-586750,Learner 586750,Applied Computing,Fictional demo enrichment
OULAD-586808,Learner 586808,Business Analytics,Fictional demo enrichment
OULAD-587547,Learner 587547,Data & Society,Fictional demo enrichment
OULAD-587641,Learner 587641,Applied Computing,Fictional demo enrichment
OULAD-588566,Learner 588566,Business Analytics,Fictional demo enrichment
OULAD-588824,Learner 588824,Business Analytics,Fictional demo enrichment
OULAD-589956,Learner 589956,Data & Society,Fictional demo enrichment
