enrollment_id,weighted_grade
OULAD-341361-CCC-2014J,44.0
OULAD-341361-FFF-2013J,60.5
OULAD-348050-CCC-2014B,69.2
OULAD-348050-DDD-2013J,75.9
OULAD-350690-DDD-2013B,84.9
OULAD-355143-CCC-2014B,20.7
OULAD-355143-FFF-2013B,62.9
OULAD-356523-CCC-2014B,72.7
OULAD-356523-CCC-2014J,83.4
OULAD-358075-CCC-2014B,77.6
OULAD-358075-CCC-2014J,65.6
OULAD-358075-DDD-2013B,47.9
OULAD-359460-EEE-2014B,79.0
OULAD-361837-FFF-2013B,90.0
OULAD-361837-FFF-2013J,90.0
OULAD-362661-FFF-2014B,79.0
OULAD-366310-CCC-2014B,54.4
OULAD-366310-DDD-2013B,53.4
OULAD-366424-CCC-2014B,10.0
OULAD-366424-EEE-2014B,77.8
OULAD-369908-DDD-2013B,54.2
OULAD-370336-CCC-2014B,80.0
OULAD-373280-DDD-2013J,70.0
OULAD-373280-DDD-2014J,81.2
OULAD-378920-CCC-2014B,75.9
OULAD-378920-EEE-2013J,93.3
OULAD-379042-CCC-2014J,55.5
OULAD-379042-FFF-2014B,90.8
OULAD-382857-FFF-2014B,57.7
OULAD-385547-FFF-2013J,67.0
OULAD-386671-DDD-2014B,85.5
OULAD-387289-DDD-2013B,34.6
OULAD-387289-DDD-2014B,23.9
OULAD-389759-FFF-2013B,79.0
OULAD-389759-FFF-2014B,63.0
OULAD-391466-CCC-2014J,37.1
OULAD-391466-EEE-2013J,77.4
OULAD-391638-DDD-2013B,52.0
OULAD-393327-BBB-2013J,72.0
OULAD-393526-CCC-2014J,78.0
OULAD-393526-FFF-2013J,88.0
OULAD-396631-CCC-2014J,86.2
OULAD-396631-EEE-2013J,69.4
OULAD-398877-EEE-2013J,77.7
OULAD-400266-CCC-2014J,71.5
OULAD-400266-FFF-2013J,66.5
OULAD-401011-CCC-2014J,8.0
OULAD-401011-EEE-2013J,76.6
OULAD-401296-CCC-2014B,65.1
OULAD-401296-EEE-2013J,84.6
OULAD-404170-FFF-2013B,71.0
OULAD-404170-FFF-2014B,71.5
OULAD-410886-CCC-2014B,89.6
OULAD-410886-DDD-2013B,80.1
OULAD-411105-BBB-2014J,1.0
OULAD-411105-GGG-2013J,72.2
OULAD-415695-DDD-2013B,46.3
OULAD-415695-DDD-2014B,53.3
OULAD-416696-FFF-2013B,71.0
OULAD-416696-FFF-2013J,71.0
OULAD-419024-CCC-2014J,47.8
OULAD-419024-FFF-2013J,76.0
OULAD-420042-CCC-2014J,90.5
OULAD-420042-FFF-2014B,84.2
OULAD-421111-EEE-2014B,40.8
OULAD-422697-CCC-2014J,79.4
OULAD-422697-FFF-2014B,93.5
OULAD-425817-BBB-2013B,65.0
OULAD-425817-BBB-2013J,65.0
OULAD-426316-EEE-2014B,81.4
OULAD-426616-CCC-2014B,52.8
OULAD-426616-EEE-2014B,60.9
OULAD-429832-FFF-2013J,53.7
OULAD-429832-FFF-2014J,43.0
OULAD-430516-FFF-2014B,78.0
OULAD-431071-BBB-2013B,69.2
OULAD-431071-BBB-2013J,69.2
OULAD-431386-CCC-2014B,56.9
OULAD-439855-CCC-2014J,89.6
OULAD-439855-DDD-2013J,82.4
OULAD-440171-CCC-2014J,56.4
OULAD-441421-FFF-2014J,68.0
OULAD-441540-CCC-2014B,59.2
OULAD-441540-EEE-2013J,89.3
OULAD-442924-CCC-2014J,88.7
OULAD-442924-DDD-2013J,85.7
OULAD-444619-FFF-2013J,88.0
OULAD-444619-FFF-2014J,85.0
OULAD-446397-EEE-2013J,86.3
OULAD-446628-CCC-2014B,30.0
OULAD-446628-FFF-2013J,86.2
OULAD-464780-CCC-2014J,44.0
OULAD-464780-EEE-2014J,49.1
OULAD-465719-CCC-2014B,11.0
OULAD-467144-EEE-2014B,82.9
OULAD-467363-FFF-2014J,54.5
OULAD-469113-CCC-2014B,70.0
OULAD-469113-EEE-2013J,89.5
OULAD-472060-DDD-2013B,83.6
OULAD-472060-DDD-2013J,54.3
OULAD-472651-CCC-2014J,88.7
OULAD-472651-DDD-2014B,84.1
OULAD-473271-BBB-2014J,67.2
OULAD-473271-GGG-2013J,70.3
OULAD-473491-CCC-2014J,96.2
OULAD-473491-FFF-2013J,69.3
OULAD-473509-BBB-2014B,77.0
OULAD-473640-DDD-2013B,16.7
OULAD-473640-DDD-2013J,26.2
OULAD-476816-BBB-2013J,57.4
OULAD-479607-CCC-2014B,70.0
OULAD-479607-DDD-2013B,59.0
OULAD-479607-EEE-2014B,60.0
OULAD-480929-CCC-2014B,92.6
OULAD-480929-DDD-2013B,84.7
OULAD-482868-CCC-2014J,44.0
OULAD-482868-DDD-2013J,71.8
OULAD-483411-BBB-2013B,63.2
OULAD-485519-DDD-2013J,71.9
OULAD-487002-BBB-2014B,89.1
OULAD-487314-CCC-2014J,64.7
OULAD-487314-FFF-2014B,92.2
OULAD-487556-DDD-2013J,71.9
OULAD-487556-DDD-2014J,58.0
OULAD-489990-DDD-2013J,47.1
OULAD-490297-CCC-2014B,20.0
OULAD-490297-DDD-2013J,54.7
OULAD-490297-FFF-2014J,33.0
OULAD-490662-CCC-2014B,48.4
OULAD-490662-EEE-2014B,75.0
OULAD-491011-FFF-2014B,74.2
OULAD-491756-FFF-2014J,65.5
OULAD-493879-DDD-2014B,41.0
OULAD-494212-BBB-2014J,56.0
OULAD-494212-GGG-2013J,94.4
OULAD-494919-CCC-2014B,45.8
OULAD-494919-DDD-2013B,73.7
OULAD-495324-BBB-2014B,59.0
OULAD-498363-DDD-2013B,39.2
OULAD-498363-DDD-2014B,65.5
OULAD-498828-CCC-2014J,65.8
OULAD-498828-FFF-2014B,82.5
OULAD-499244-FFF-2013B,62.0
OULAD-499244-FFF-2014J,66.0
OULAD-499813-CCC-2014J,95.8
OULAD-499813-FFF-2014B,87.8
OULAD-500006-CCC-2014B,37.5
OULAD-500006-DDD-2013B,56.0
OULAD-500189-CCC-2014B,30.0
OULAD-500189-CCC-2014J,49.8
OULAD-500189-EEE-2013J,93.0
OULAD-500279-BBB-2014B,57.0
OULAD-501302-FFF-2014B,72.0
OULAD-501723-DDD-2013J,71.8
OULAD-501723-DDD-2014B,64.0
OULAD-501755-FFF-2013B,34.0
OULAD-501755-GGG-2014B,74.3
OULAD-502833-EEE-2013J,58.4
OULAD-504602-DDD-2013J,54.0
OULAD-504956-FFF-2013B,68.0
OULAD-504956-FFF-2013J,68.0
OULAD-505767-CCC-2014B,71.4
OULAD-505767-EEE-2014B,85.8
OULAD-507034-CCC-2014B,83.7
OULAD-507034-FFF-2013B,73.2
OULAD-508295-CCC-2014J,20.4
OULAD-508295-FFF-2013J,66.8
OULAD-508829-DDD-2014J,16.5
OULAD-508829-EEE-2013J,55.3
OULAD-509102-CCC-2014B,58.8
OULAD-509102-DDD-2013J,76.4
OULAD-510266-CCC-2014J,50.4
OULAD-510266-EEE-2014B,93.2
OULAD-511350-CCC-2014J,4.0
OULAD-511350-FFF-2014B,37.8
OULAD-511350-FFF-2014J,38.0
OULAD-513687-DDD-2013B,73.0
OULAD-513687-DDD-2014B,53.9
OULAD-515125-EEE-2014B,52.9
OULAD-517349-FFF-2013B,75.3
OULAD-517349-FFF-2013J,75.3
OULAD-518116-EEE-2014B,34.4
OULAD-519589-CCC-2014B,20.0
OULAD-520824-EEE-2014B,44.0
OULAD-521115-CCC-2014J,80.7
OULAD-521115-FFF-2014J,83.2
OULAD-521164-BBB-2014J,69.6
OULAD-521164-GGG-2013J,94.4
OULAD-521255-FFF-2013J,69.0
OULAD-521255-FFF-2014J,53.5
OULAD-522538-DDD-2013B,76.4
OULAD-522538-DDD-2013J,77.4
OULAD-523061-CCC-2014B,41.9
OULAD-523061-EEE-2014B,58.8
OULAD-524020-DDD-2013B,70.0
OULAD-524137-DDD-2013B,84.5
OULAD-524137-DDD-2014B,66.1
OULAD-524378-CCC-2014B,73.1
OULAD-524378-DDD-2013B,61.8
OULAD-526303-FFF-2013B,80.0
OULAD-526303-FFF-2014B,62.8
OULAD-526506-BBB-2013B,71.7
OULAD-528175-BBB-2013B,71.0
OULAD-528175-DDD-2014J,50.0
OULAD-529073-CCC-2014B,49.3
OULAD-529073-DDD-2013J,65.4
OULAD-529723-CCC-2014J,0.0
OULAD-529723-FFF-2013J,68.0
OULAD-531047-CCC-2014B,29.5
OULAD-531047-DDD-2013B,54.1
OULAD-531075-DDD-2013B,29.9
OULAD-532440-CCC-2014J,68.6
OULAD-532579-EEE-2014J,81.3
OULAD-532579-FFF-2013B,85.8
OULAD-532988-DDD-2013B,31.2
OULAD-533004-CCC-2014B,32.0
OULAD-533004-DDD-2013B,65.2
OULAD-533512-CCC-2014J,54.8
OULAD-536103-FFF-2013B,60.5
OULAD-536103-FFF-2013J,60.5
OULAD-536711-FFF-2013J,86.0
OULAD-537654-CCC-2014B,57.3
OULAD-537654-CCC-2014J,63.6
OULAD-539401-FFF-2013B,68.0
OULAD-539401-FFF-2014B,68.0
OULAD-539514-CCC-2014B,91.4
OULAD-539514-FFF-2013B,74.5
OULAD-539922-FFF-2013B,80.0
OULAD-539922-FFF-2014B,50.2
OULAD-539945-FFF-2013J,79.0
OULAD-539945-FFF-2014J,84.2
OULAD-540530-BBB-2013B,63.7
OULAD-540530-DDD-2013B,58.2
OULAD-540637-FFF-2013J,56.3
OULAD-540686-CCC-2014B,81.4
OULAD-540686-DDD-2013B,78.0
OULAD-540909-FFF-2014B,74.0
OULAD-541040-CCC-2014J,65.3
OULAD-541040-EEE-2013J,55.5
OULAD-541482-CCC-2014J,47.2
OULAD-541482-DDD-2013J,68.5
OULAD-542180-DDD-2013J,60.9
OULAD-542557-CCC-2014J,93.4
OULAD-542557-FFF-2014B,91.0
OULAD-543976-DDD-2014B,74.1
OULAD-543976-DDD-2014J,79.0
OULAD-544090-CCC-2014B,51.0
OULAD-544090-FFF-2013J,90.0
OULAD-544271-FFF-2014B,86.0
OULAD-544499-DDD-2013J,51.0
OULAD-544499-DDD-2014B,89.0
OULAD-545704-CCC-2014J,56.8
OULAD-545704-DDD-2013B,58.5
OULAD-546202-BBB-2013B,79.8
OULAD-546202-BBB-2014B,72.4
OULAD-546299-DDD-2014B,19.1
OULAD-546299-DDD-2014J,37.2
OULAD-547413-CCC-2014B,46.6
OULAD-547413-FFF-2014B,83.0
OULAD-547784-DDD-2013B,36.0
OULAD-547784-DDD-2013J,45.8
OULAD-548764-CCC-2014B,36.6
OULAD-548764-FFF-2013B,75.8
OULAD-549337-DDD-2013J,37.9
OULAD-549523-FFF-2013J,84.0
OULAD-549523-FFF-2014J,74.0
OULAD-549873-BBB-2013B,54.8
OULAD-549873-BBB-2013J,54.8
OULAD-550814-CCC-2014J,41.4
OULAD-550814-DDD-2013J,58.1
OULAD-551214-CCC-2014J,69.8
OULAD-551214-DDD-2013J,82.9
OULAD-551515-BBB-2014B,74.6
OULAD-551856-CCC-2014B,32.9
OULAD-552166-CCC-2014B,40.0
OULAD-552166-DDD-2013B,51.0
OULAD-552648-FFF-2013B,76.5
OULAD-552648-FFF-2014B,83.0
OULAD-552965-CCC-2014J,93.4
OULAD-552965-DDD-2014J,86.5
OULAD-553568-EEE-2013J,88.0
OULAD-554235-EEE-2013J,43.7
OULAD-554235-EEE-2014J,80.0
OULAD-554243-BBB-2013J,78.6
OULAD-554243-BBB-2014J,66.3
OULAD-554583-CCC-2014B,57.9
OULAD-554583-EEE-2013J,79.3
OULAD-554691-CCC-2014J,57.8
OULAD-554691-DDD-2013B,66.0
OULAD-554691-DDD-2013J,48.2
OULAD-554885-DDD-2013B,64.6
OULAD-555132-DDD-2014B,64.0
OULAD-555132-DDD-2014J,63.2
OULAD-555498-CCC-2014J,70.3
OULAD-555498-FFF-2013J,81.0
OULAD-556918-CCC-2014B,70.0
OULAD-556918-DDD-2013B,67.1
OULAD-557351-BBB-2013B,65.6
OULAD-557351-BBB-2014B,74.8
OULAD-557735-FFF-2013B,78.7
OULAD-557735-FFF-2013J,75.0
OULAD-558029-DDD-2014B,83.4
OULAD-559449-FFF-2013B,86.0
OULAD-559449-FFF-2014B,86.0
OULAD-559685-BBB-2013J,66.3
OULAD-559685-BBB-2014J,100.0
OULAD-560114-CCC-2014B,66.7
OULAD-560114-DDD-2013B,62.4
OULAD-560311-CCC-2014B,96.9
OULAD-560311-DDD-2013B,82.7
OULAD-562825-CCC-2014B,54.0
OULAD-562825-EEE-2014B,87.4
OULAD-563847-DDD-2013J,70.0
OULAD-563847-DDD-2014J,70.0
OULAD-564356-CCC-2014J,56.0
OULAD-564356-DDD-2013J,48.0
OULAD-565109-FFF-2014B,86.5
OULAD-565275-EEE-2014J,88.5
OULAD-566185-CCC-2014B,41.0
OULAD-566185-DDD-2013J,52.2
OULAD-567681-FFF-2014B,29.5
OULAD-567888-CCC-2014J,93.1
OULAD-567888-FFF-2013J,95.8
OULAD-568998-FFF-2013J,68.0
OULAD-568998-FFF-2014J,66.0
OULAD-569625-FFF-2013J,68.7
OULAD-570004-FFF-2013J,66.0
OULAD-570004-FFF-2014J,71.0
OULAD-570689-FFF-2013J,71.0
OULAD-570689-FFF-2014J,71.0
OULAD-571131-CCC-2014J,57.9
OULAD-571131-DDD-2013J,50.1
OULAD-571389-CCC-2014B,40.0
OULAD-571389-EEE-2014B,89.0
OULAD-571540-BBB-2014B,79.4
OULAD-571610-CCC-2014J,59.6
OULAD-571610-EEE-2013J,86.9
OULAD-571808-CCC-2014J,98.3
OULAD-571808-DDD-2013J,58.3
OULAD-571921-CCC-2014J,83.4
OULAD-571921-DDD-2013J,90.4
OULAD-571962-CCC-2014J,33.0
OULAD-571962-FFF-2014B,62.5
OULAD-571963-EEE-2014B,83.8
OULAD-572265-FFF-2013J,45.0
OULAD-572265-FFF-2014J,50.0
OULAD-572281-DDD-2014J,65.1
OULAD-572396-CCC-2014J,86.6
OULAD-572396-EEE-2013J,86.3
OULAD-572431-CCC-2014J,76.5
OULAD-572431-DDD-2013J,84.8
OULAD-572589-CCC-2014J,50.5
OULAD-572589-FFF-2013J,74.7
OULAD-572735-CCC-2014J,76.3
OULAD-572735-DDD-2013J,85.5
OULAD-572783-CCC-2014J,63.8
OULAD-572783-FFF-2013J,62.0
OULAD-572891-CCC-2014B,57.3
OULAD-572891-EEE-2013J,79.6
OULAD-572909-DDD-2013J,48.0
OULAD-573235-DDD-2013J,85.0
OULAD-573235-DDD-2014B,85.0
OULAD-573291-FFF-2013J,65.0
OULAD-573291-FFF-2014J,65.0
OULAD-573440-CCC-2014B,62.9
OULAD-573440-EEE-2013J,91.7
OULAD-573646-DDD-2013J,79.1
OULAD-573646-DDD-2014J,77.5
OULAD-573696-CCC-2014B,60.0
OULAD-573696-FFF-2013J,69.0
OULAD-573697-FFF-2013J,88.0
OULAD-573697-FFF-2014J,88.0
OULAD-574507-CCC-2014J,62.0
OULAD-574507-EEE-2013J,80.6
OULAD-574551-CCC-2014B,86.7
OULAD-574551-FFF-2013J,64.8
OULAD-574637-CCC-2014J,72.6
OULAD-574637-EEE-2014B,90.0
OULAD-574720-CCC-2014J,53.3
OULAD-574720-DDD-2013J,74.6
OULAD-574830-CCC-2014B,50.0
OULAD-574830-EEE-2013J,94.2
OULAD-575798-CCC-2014J,80.0
OULAD-575798-DDD-2013J,76.2
OULAD-576233-CCC-2014J,52.0
OULAD-576233-DDD-2013J,74.6
OULAD-576453-CCC-2014J,97.7
OULAD-576453-DDD-2013J,84.3
OULAD-577035-CCC-2014B,96.1
OULAD-577035-DDD-2013J,79.5
OULAD-577148-CCC-2014J,22.0
OULAD-577148-EEE-2013J,56.6
OULAD-577245-CCC-2014B,45.5
OULAD-577245-EEE-2014B,80.4
OULAD-577279-CCC-2014J,92.1
OULAD-577279-DDD-2013J,85.2
OULAD-577533-FFF-2013J,83.0
OULAD-577533-FFF-2014J,78.0
OULAD-577686-CCC-2014B,50.3
OULAD-577686-EEE-2013J,83.4
OULAD-578034-CCC-2014B,50.5
OULAD-578034-EEE-2013J,90.7
OULAD-578152-FFF-2014J,68.0
OULAD-578427-DDD-2013J,35.6
OULAD-578427-DDD-2014J,49.9
OULAD-578541-CCC-2014B,39.8
OULAD-578541-EEE-2014B,60.9
OULAD-579255-BBB-2013J,78.0
OULAD-579255-BBB-2014B,46.3
OULAD-580709-CCC-2014J,38.4
OULAD-580709-FFF-2013J,81.8
OULAD-580714-CCC-2014J,79.0
OULAD-580714-DDD-2013J,95.3
OULAD-580722-CCC-2014B,30.0
OULAD-580722-CCC-2014J,73.1
OULAD-580845-CCC-2014J,58.0
OULAD-580845-FFF-2014J,78.2
OULAD-581179-CCC-2014J,60.7
OULAD-581179-EEE-2013J,70.1
OULAD-581219-FFF-2013J,50.0
OULAD-581219-FFF-2014J,46.0
OULAD-581410-CCC-2014J,75.3
OULAD-581410-FFF-2013J,81.5
OULAD-581614-CCC-2014B,49.9
OULAD-581614-FFF-2013J,84.2
OULAD-582094-EEE-2014B,82.8
OULAD-582094-EEE-2014J,90.2
OULAD-582827-CCC-2014B,0.0
OULAD-582827-EEE-2013J,61.0
OULAD-583056-FFF-2014B,53.0
OULAD-583056-FFF-2014J,47.3
OULAD-583192-CCC-2014B,83.7
OULAD-583192-EEE-2013J,79.9
OULAD-583293-CCC-2014J,93.3
OULAD-583293-DDD-2013J,95.3
OULAD-583775-BBB-2014J,48.8
OULAD-583775-DDD-2013J,80.4
OULAD-583775-DDD-2014B,69.5
OULAD-584210-FFF-2013J,37.8
OULAD-584210-FFF-2014J,70.0
OULAD-584443-CCC-2014J,97.8
OULAD-584443-EEE-2013J,93.8
OULAD-584468-FFF-2013J,88.0
OULAD-585098-CCC-2014J,73.4
OULAD-585098-DDD-2013J,60.7
OULAD-586046-CCC-2014J,38.3
OULAD-586046-EEE-2013J,83.2
OULAD-586261-CCC-2014J,59.8
OULAD-586261-EEE-2013J,87.1
OULAD-586473-CCC-2014B,8.0
OULAD-586473-EEE-2013J,65.3
OULAD-586550-CCC-2014J,80.0
OULAD-586550-DDD-2013J,50.3
OULAD-586594-CCC-2014J,86.5
OULAD-586594-FFF-2013J,88.5
OULAD-586750-CCC-2014J,46.2
OULAD-586750-EEE-2013J,78.7
OULAD-586808-CCC-2014J,72.7
OULAD-586808-FFF-2013J,81.2
OULAD-586906-FFF-2014J,83.5
OULAD-586921-CCC-2014B,40.0
OULAD-586921-CCC-2014J,52.2
OULAD-586921-EEE-2013J,89.7
OULAD-587547-EEE-2013J,71.2
OULAD-587576-DDD-2013J,12.0
OULAD-587576-DDD-2014J,44.8
OULAD-587621-CCC-2014B,12.7
OULAD-587621-EEE-2013J,69.8
OULAD-587621-EEE-2014J,59.3
OULAD-587641-CCC-2014J,49.4
OULAD-587641-DDD-2013J,67.0
OULAD-588402-CCC-2014B,50.3
OULAD-588402-EEE-2013J,92.4
OULAD-588460-CCC-2014B,61.8
OULAD-588460-DDD-2013J,59.1
OULAD-588566-CCC-2014J,55.7
OULAD-588566-DDD-2013J,76.4
OULAD-588676-CCC-2014B,61.3
OULAD-588676-EEE-2013J,79.8
OULAD-588824-CCC-2014J,100.0
OULAD-588824-DDD-2013J,65.2
OULAD-589327-CCC-2014B,36.6
OULAD-589327-CCC-2014J,59.6
OULAD-589327-EEE-2013J,79.8
OULAD-589517-EEE-2013J,94.2
OULAD-589569-DDD-2014B,61.9
OULAD-589956-CCC-2014J,86.9
OULAD-589956-DDD-2013J,87.4
OULAD-590548-FFF-2013J,92.0
OULAD-590548-FFF-2014B,92.0
OULAD-590676-CCC-2014J,51.0
OULAD-590676-DDD-2013J,73.2
OULAD-590744-EEE-2013J,77.1
OULAD-590762-CCC-2014B,86.9
OULAD-590762-DDD-2013J,83.2
OULAD-590920-DDD-2013J,42.0
OULAD-590920-DDD-2014J,57.6
OULAD-591566-CCC-2014B,21.5
OULAD-591566-EEE-2013J,76.0
OULAD-591648-DDD-2013J,68.0
OULAD-591719-EEE-2013J,86.0
OULAD-592494-CCC-2014J,77.3
OULAD-592494-DDD-2013J,67.7
OULAD-592951-CCC-2014J,67.0
OULAD-593823-CCC-2014B,88.3
OULAD-593823-FFF-2013J,83.5
OULAD-594111-EEE-2013J,61.8
OULAD-595047-BBB-2014B,84.7
OULAD-595514-CCC-2014B,54.1
OULAD-595514-CCC-2014J,49.7
OULAD-595685-CCC-2014B,44.5
OULAD-595685-DDD-2013J,71.6
OULAD-595746-FFF-2013J,92.5
OULAD-596620-CCC-2014J,82.2
OULAD-596620-DDD-2013B,88.1
OULAD-596620-DDD-2013J,81.7
OULAD-596620-DDD-2014J,89.2
OULAD-596812-EEE-2013J,89.3
OULAD-597319-CCC-2014J,39.1
OULAD-597319-EEE-2013J,66.0
OULAD-597363-EEE-2013J,79.4
OULAD-597755-CCC-2014J,90.0
OULAD-597755-DDD-2013J,85.5
OULAD-597761-FFF-2014B,47.0
OULAD-597948-EEE-2013J,89.6
OULAD-598313-BBB-2014B,50.0
